"measure","dateTime","date","value","completeness","quality","qcode"
"http://environment.data.gov.uk/hydrology/id/measures/E01786A-temp-i-subdaily-C","2026-05-13T09:01:11","2026-05-13","8.591","","Unchecked",""
"http://environment.data.gov.uk/hydrology/id/measures/E01786A-temp-i-subdaily-C","2026-05-14T13:01:11","2026-05-14","9.014","","Unchecked",""
"http://environment.data.gov.uk/hydrology/id/measures/E01786A-temp-i-subdaily-C","2026-05-13T10:01:11","2026-05-13","8.651","","Unchecked",""
"http://environment.data.gov.uk/hydrology/id/measures/E01786A-temp-i-subdaily-C","2026-05-14T14:01:11","2026-05-14","9.333","","Unchecked",""
"http://environment.data.gov.uk/hydrology/id/measures/E01786A-temp-i-subdaily-C","2026-05-13T11:01:11","2026-05-13","8.795","","Unchecked",""
"http://environment.data.gov.uk/hydrology/id/measures/E01786A-temp-i-subdaily-C","2026-05-14T15:01:11","2026-05-14","9.515","","Unchecked",""
"http://environment.data.gov.uk/hydrology/id/measures/E01786A-temp-i-subdaily-C","2026-05-13T12:01:11","2026-05-13","8.924","","Unchecked",""
"http://environment.data.gov.uk/hydrology/id/measures/E01786A-temp-i-subdaily-C","2026-05-13T13:01:11","2026-05-13","9.119","","Unchecked",""
"http://environment.data.gov.uk/hydrology/id/measures/E01786A-temp-i-subdaily-C","2026-05-13T14:01:11","2026-05-13","9.398","","Unchecked",""
"http://environment.data.gov.uk/hydrology/id/measures/E01786A-temp-i-subdaily-C","2026-05-14T16:01:11","2026-05-14","9.686","","Unchecked",""
"http://environment.data.gov.uk/hydrology/id/measures/E01786A-temp-i-subdaily-C","2026-05-13T15:01:11","2026-05-13","9.368","","Unchecked",""
"http://environment.data.gov.uk/hydrology/id/measures/E01786A-temp-i-subdaily-C","2026-05-14T17:01:11","2026-05-14","9.732","","Unchecked",""
"http://environment.data.gov.uk/hydrology/id/measures/E01786A-temp-i-subdaily-C","2026-05-13T16:01:11","2026-05-13","9.408","","Unchecked",""
"http://environment.data.gov.uk/hydrology/id/measures/E01786A-temp-i-subdaily-C","2026-05-14T18:01:11","2026-05-14","9.641","","Unchecked",""
"http://environment.data.gov.uk/hydrology/id/measures/E01786A-temp-i-subdaily-C","2026-05-13T17:01:11","2026-05-13","9.48","","Unchecked",""
"http://environment.data.gov.uk/hydrology/id/measures/E01786A-temp-i-subdaily-C","2026-05-13T18:01:11","2026-05-13","9.379","","Unchecked",""
"http://environment.data.gov.uk/hydrology/id/measures/E01786A-temp-i-subdaily-C","2026-05-13T19:01:11","2026-05-13","9.373","","Unchecked",""
"http://environment.data.gov.uk/hydrology/id/measures/E01786A-temp-i-subdaily-C","2026-05-14T19:01:11","2026-05-14","9.546","","Unchecked",""
"http://environment.data.gov.uk/hydrology/id/measures/E01786A-temp-i-subdaily-C","2026-05-13T20:01:11","2026-05-13","9.252","","Unchecked",""
"http://environment.data.gov.uk/hydrology/id/measures/E01786A-temp-i-subdaily-C","2026-05-14T20:01:11","2026-05-14","9.362","","Unchecked",""
"http://environment.data.gov.uk/hydrology/id/measures/E01786A-temp-i-subdaily-C","2026-05-13T21:01:11","2026-05-13","9.165","","Unchecked",""
"http://environment.data.gov.uk/hydrology/id/measures/E01786A-temp-i-subdaily-C","2026-05-14T21:01:11","2026-05-14","9.167","","Unchecked",""
"http://environment.data.gov.uk/hydrology/id/measures/E01786A-temp-i-subdaily-C","2026-05-13T22:01:11","2026-05-13","9.018","","Unchecked",""
"http://environment.data.gov.uk/hydrology/id/measures/E01786A-temp-i-subdaily-C","2026-05-13T23:01:11","2026-05-13","8.908","","Unchecked",""
"http://environment.data.gov.uk/hydrology/id/measures/E01786A-temp-i-subdaily-C","2026-05-14T00:01:11","2026-05-14","8.729","","Unchecked",""
"http://environment.data.gov.uk/hydrology/id/measures/E01786A-temp-i-subdaily-C","2026-05-14T01:01:11","2026-05-14","8.575","","Unchecked",""
"http://environment.data.gov.uk/hydrology/id/measures/E01786A-temp-i-subdaily-C","2026-05-14T02:01:11","2026-05-14","8.436","","Unchecked",""
"http://environment.data.gov.uk/hydrology/id/measures/E01786A-temp-i-subdaily-C","2026-05-14T03:01:11","2026-05-14","8.317","","Unchecked",""
"http://environment.data.gov.uk/hydrology/id/measures/E01786A-temp-i-subdaily-C","2026-05-14T04:01:11","2026-05-14","8.205","","Unchecked",""
