"measure","dateTime","date","value","completeness","quality","qcode"
"http://environment.data.gov.uk/hydrology/id/measures/E01786A-do-i-subdaily-pct","2026-04-23T01:01:11","2026-04-23","96.91","","Unchecked",""
"http://environment.data.gov.uk/hydrology/id/measures/E01786A-do-i-subdaily-pct","2026-04-23T02:01:11","2026-04-23","97.0","","Unchecked",""
"http://environment.data.gov.uk/hydrology/id/measures/E01786A-do-i-subdaily-pct","2026-04-23T03:01:11","2026-04-23","97.13","","Unchecked",""
"http://environment.data.gov.uk/hydrology/id/measures/E01786A-do-i-subdaily-pct","2026-04-23T04:01:11","2026-04-23","97.2","","Unchecked",""
"http://environment.data.gov.uk/hydrology/id/measures/E01786A-do-i-subdaily-pct","2026-04-23T05:01:11","2026-04-23","97.3","","Unchecked",""
"http://environment.data.gov.uk/hydrology/id/measures/E01786A-do-i-subdaily-pct","2026-04-23T06:01:11","2026-04-23","98.05","","Unchecked",""
"http://environment.data.gov.uk/hydrology/id/measures/E01786A-do-i-subdaily-pct","2026-04-23T07:01:11","2026-04-23","99.95","","Unchecked",""
"http://environment.data.gov.uk/hydrology/id/measures/E01786A-do-i-subdaily-pct","2026-04-23T08:01:11","2026-04-23","102.47","","Unchecked",""
"http://environment.data.gov.uk/hydrology/id/measures/E01786A-do-i-subdaily-pct","2026-04-23T09:01:11","2026-04-23","106.03","","Unchecked",""
"http://environment.data.gov.uk/hydrology/id/measures/E01786A-do-i-subdaily-pct","2026-04-23T10:01:11","2026-04-23","108.36","","Unchecked",""
"http://environment.data.gov.uk/hydrology/id/measures/E01786A-do-i-subdaily-pct","2026-04-23T11:01:11","2026-04-23","108.82","","Unchecked",""
"http://environment.data.gov.uk/hydrology/id/measures/E01786A-do-i-subdaily-pct","2026-04-23T12:01:11","2026-04-23","110.42","","Unchecked",""
"http://environment.data.gov.uk/hydrology/id/measures/E01786A-do-i-subdaily-pct","2026-04-23T13:01:11","2026-04-23","111.89","","Unchecked",""
"http://environment.data.gov.uk/hydrology/id/measures/E01786A-do-i-subdaily-pct","2026-04-23T14:01:11","2026-04-23","111.58","","Unchecked",""
"http://environment.data.gov.uk/hydrology/id/measures/E01786A-do-i-subdaily-pct","2026-04-23T15:01:11","2026-04-23","109.67","","Unchecked",""
"http://environment.data.gov.uk/hydrology/id/measures/E01786A-do-i-subdaily-pct","2026-04-23T16:01:11","2026-04-23","107.29","","Unchecked",""
"http://environment.data.gov.uk/hydrology/id/measures/E01786A-do-i-subdaily-pct","2026-04-23T17:01:11","2026-04-23","104.04","","Unchecked",""
"http://environment.data.gov.uk/hydrology/id/measures/E01786A-do-i-subdaily-pct","2026-04-23T18:01:11","2026-04-23","100.91","","Unchecked",""
"http://environment.data.gov.uk/hydrology/id/measures/E01786A-do-i-subdaily-pct","2026-04-23T19:01:11","2026-04-23","98.89","","Unchecked",""
"http://environment.data.gov.uk/hydrology/id/measures/E01786A-do-i-subdaily-pct","2026-04-23T20:01:11","2026-04-23","97.37","","Unchecked",""
"http://environment.data.gov.uk/hydrology/id/measures/E01786A-do-i-subdaily-pct","2026-04-23T21:01:11","2026-04-23","96.69","","Unchecked",""
"http://environment.data.gov.uk/hydrology/id/measures/E01786A-do-i-subdaily-pct","2026-04-23T22:01:11","2026-04-23","96.56","","Unchecked",""
"http://environment.data.gov.uk/hydrology/id/measures/E01786A-do-i-subdaily-pct","2026-04-23T23:01:11","2026-04-23","96.53","","Unchecked",""
"http://environment.data.gov.uk/hydrology/id/measures/E01786A-do-i-subdaily-pct","2026-04-24T00:01:11","2026-04-24","96.49","","Unchecked",""
"http://environment.data.gov.uk/hydrology/id/measures/E01786A-do-i-subdaily-pct","2026-04-24T01:01:11","2026-04-24","96.54","","Unchecked",""
"http://environment.data.gov.uk/hydrology/id/measures/E01786A-do-i-subdaily-pct","2026-04-24T02:01:11","2026-04-24","96.69","","Unchecked",""
"http://environment.data.gov.uk/hydrology/id/measures/E01786A-do-i-subdaily-pct","2026-04-24T03:01:11","2026-04-24","96.77","","Unchecked",""
"http://environment.data.gov.uk/hydrology/id/measures/E01786A-do-i-subdaily-pct","2026-04-24T04:01:11","2026-04-24","96.8","","Unchecked",""
"http://environment.data.gov.uk/hydrology/id/measures/E01786A-do-i-subdaily-pct","2026-04-24T05:01:11","2026-04-24","96.86","","Unchecked",""
"http://environment.data.gov.uk/hydrology/id/measures/E01786A-do-i-subdaily-pct","2026-04-24T06:01:11","2026-04-24","97.61","","Unchecked",""
"http://environment.data.gov.uk/hydrology/id/measures/E01786A-do-i-subdaily-pct","2026-04-24T07:01:11","2026-04-24","99.59","","Unchecked",""
"http://environment.data.gov.uk/hydrology/id/measures/E01786A-do-i-subdaily-pct","2026-04-24T08:01:11","2026-04-24","101.53","","Unchecked",""
"http://environment.data.gov.uk/hydrology/id/measures/E01786A-do-i-subdaily-pct","2026-04-24T09:01:11","2026-04-24","103.39","","Unchecked",""
"http://environment.data.gov.uk/hydrology/id/measures/E01786A-do-i-subdaily-pct","2026-04-24T10:01:11","2026-04-24","105.31","","Unchecked",""
"http://environment.data.gov.uk/hydrology/id/measures/E01786A-do-i-subdaily-pct","2026-04-24T11:01:11","2026-04-24","107.28","","Unchecked",""
"http://environment.data.gov.uk/hydrology/id/measures/E01786A-do-i-subdaily-pct","2026-04-24T12:01:11","2026-04-24","109.51","","Unchecked",""
"http://environment.data.gov.uk/hydrology/id/measures/E01786A-do-i-subdaily-pct","2026-04-24T13:01:11","2026-04-24","111.23","","Unchecked",""
"http://environment.data.gov.uk/hydrology/id/measures/E01786A-do-i-subdaily-pct","2026-04-24T14:01:11","2026-04-24","110.98","","Unchecked",""
"http://environment.data.gov.uk/hydrology/id/measures/E01786A-do-i-subdaily-pct","2026-04-24T15:01:11","2026-04-24","108.87","","Unchecked",""
"http://environment.data.gov.uk/hydrology/id/measures/E01786A-do-i-subdaily-pct","2026-04-24T16:01:11","2026-04-24","106.54","","Unchecked",""
"http://environment.data.gov.uk/hydrology/id/measures/E01786A-do-i-subdaily-pct","2026-04-24T17:01:11","2026-04-24","103.52","","Unchecked",""
"http://environment.data.gov.uk/hydrology/id/measures/E01786A-do-i-subdaily-pct","2026-04-24T18:01:11","2026-04-24","100.39","","Unchecked",""
"http://environment.data.gov.uk/hydrology/id/measures/E01786A-do-i-subdaily-pct","2026-04-24T19:01:11","2026-04-24","98.21","","Unchecked",""
"http://environment.data.gov.uk/hydrology/id/measures/E01786A-do-i-subdaily-pct","2026-04-24T20:01:11","2026-04-24","96.73","","Unchecked",""
"http://environment.data.gov.uk/hydrology/id/measures/E01786A-do-i-subdaily-pct","2026-04-24T21:01:11","2026-04-24","95.92","","Unchecked",""
"http://environment.data.gov.uk/hydrology/id/measures/E01786A-do-i-subdaily-pct","2026-04-24T22:01:12","2026-04-24","95.72","","Unchecked",""
"http://environment.data.gov.uk/hydrology/id/measures/E01786A-do-i-subdaily-pct","2026-04-24T23:01:11","2026-04-24","95.75","","Unchecked",""
"http://environment.data.gov.uk/hydrology/id/measures/E01786A-do-i-subdaily-pct","2026-04-25T00:01:11","2026-04-25","95.78","","Unchecked",""
"http://environment.data.gov.uk/hydrology/id/measures/E01786A-do-i-subdaily-pct","2026-04-25T01:01:11","2026-04-25","95.8","","Unchecked",""
"http://environment.data.gov.uk/hydrology/id/measures/E01786A-do-i-subdaily-pct","2026-04-25T02:01:11","2026-04-25","95.91","","Unchecked",""
"http://environment.data.gov.uk/hydrology/id/measures/E01786A-do-i-subdaily-pct","2026-04-25T03:01:11","2026-04-25","95.96","","Unchecked",""
"http://environment.data.gov.uk/hydrology/id/measures/E01786A-do-i-subdaily-pct","2026-04-25T04:01:11","2026-04-25","96.03","","Unchecked",""
"http://environment.data.gov.uk/hydrology/id/measures/E01786A-do-i-subdaily-pct","2026-04-25T05:01:11","2026-04-25","96.15","","Unchecked",""
"http://environment.data.gov.uk/hydrology/id/measures/E01786A-do-i-subdaily-pct","2026-04-25T06:01:11","2026-04-25","96.8","","Unchecked",""
